Timestep,function
0,nan
1000,2.99629e-06
2000,0.000146377
3000,7.85105e-05
4000,7.32862e-05
5000,1.20407e-05
6000,2.96671e-05
7000,3.36569e-05
8000,3.6705e-05
9000,3.26422e-05
10000,1.772e-05
11000,1.61622e-05
12000,9.99094e-06
13000,9.23742e-06
14000,1.27223e-05
15000,2.40822e-07
16000,7.46229e-06
17000,2.4034e-07
18000,9.83479e-06
19000,9.31238e-06
20000,1.46726e-05
21000,8.45756e-06
22000,2.78573e-06
23000,1.02817e-05
24000,4.96088e-06
25000,1.18077e-05
26000,6.81619e-06
27000,4.44086e-06
28000,2.19561e-06
29000,8.10057e-06
30000,1.17019e-05
31000,3.86174e-06
32000,1.59224e-07
33000,5.38961e-06
34000,5.31036e-06
35000,1.17236e-05
36000,8.22344e-06
37000,3.25183e-06
38000,1.62317e-06
39000,6.08579e-06
40000,7.36472e-06
41000,8.56368e-06
42000,1.46743e-06
43000,5.4908e-06
44000,4.06966e-06
45000,5.24454e-06
46000,5.16568e-06
47000,2.55832e-06
48000,1.23549e-07
49000,3.6221e-06
50000,4.70591e-06
51000,2.34736e-06
52000,3.42433e-06
53000,2.27708e-06
54000,5.45393e-06
55000,3.23195e-06
56000,3.17796e-06
57000,4.15316e-06
58000,2.05925e-06
59000,1.04763e-06
60000,2.97592e-06
61000,2.91624e-06
62000,3.81308e-06
63000,9.9627e-07
64000,5.9739e-08
65000,6.32655e-06
66000,2.70327e-06
67000,5.25545e-06
68000,2.62739e-06
69000,1.73771e-06
70000,2.52332e-06
71000,4.12911e-06
72000,2.48176e-06
73000,2.43278e-06
74000,3.20365e-06
75000,3.14739e-06
76000,3.86609e-06
77000,3.08202e-06
78000,2.28005e-06
79000,2.26239e-06
80000,4.40031e-06
81000,3.62864e-06
82000,3.57105e-06
83000,2.83767e-06
84000,1.42513e-06
85000,3.46022e-06
86000,2.06885e-06
87000,2.04009e-06
88000,2.03601e-06
89000,2.00243e-06
90000,7.05756e-07
91000,2.58813e-06
92000,1.92835e-06
93000,1.91366e-06
94000,1.28423e-06
95000,6.57776e-07
96000,3.05245e-06
97000,3.62819e-06
98000,6.34922e-07
99000,3.00001e-06
100000,2.36616e-06
101000,1.20011e-06
102000,2.30522e-06
103000,1.16279e-06
104000,2.27445e-06
105000,5.97803e-07
106000,5.95898e-07
107000,3.84639e-06
108000,1.63793e-06
109000,2.17559e-06
110000,4.37571e-08
111000,1.08066e-06
112000,1.58028e-06
113000,2.60907e-06
114000,5.51955e-07
115000,5.46927e-07
116000,5.32586e-07
117000,2.01127e-06
118000,2.02803e-06
119000,5.25163e-07
120000,1.97403e-06
121000,3.43129e-08
122000,1.92963e-06
123000,1.45356e-06
124000,2.83601e-06
125000,1.42703e-06
126000,4.89897e-07
127000,2.3284e-06
128000,3.65696e-06
129000,2.75781e-06
130000,2.25651e-06
131000,1.36633e-06
132000,1.34683e-06
133000,1.77619e-06
134000,2.1953e-06
135000,4.55686e-07
136000,1.31407e-06
137000,8.78128e-07
138000,1.7146e-06
139000,1.28857e-06
140000,4.40455e-07
141000,4.45014e-07
142000,4.41819e-07
143000,8.48525e-07
144000,8.29239e-07
145000,1.22999e-06
146000,1.2313e-06
147000,8.21854e-07
148000,8.30943e-07
149000,8.08188e-07
150000,1.61529e-06
151000,1.18205e-06
152000,4.53792e-07
153000,1.93291e-06
154000,2.28903e-06
155000,1.1489e-06
156000,1.51871e-06
157000,1.20863e-06
158000,2.22472e-06
159000,2.62474e-06
160000,2.19477e-06
161000,7.50395e-07
162000,1.1124e-06
163000,3.80739e-07
164000,2.18946e-06
165000,1.77805e-06
166000,1.10687e-06
167000,1.76381e-06
168000,1.0874e-06
169000,1.74093e-06
170000,1.74176e-06
171000,1.72446e-06
172000,1.37302e-06
173000,6.989e-07
174000,2.36395e-06
175000,1.68813e-06
176000,1.67496e-06
177000,1.33471e-06
178000,3.51137e-07
179000,1.32281e-06
180000,1.95925e-06
181000,1.62273e-06
182000,9.83823e-07
183000,6.5978e-07
184000,2.2677e-06
185000,1.27951e-06
186000,3.50811e-07
187000,1.57409e-06
188000,1.25518e-06
189000,6.42157e-07
190000,6.35837e-07
191000,9.47116e-07
192000,1.83977e-06
193000,6.34383e-07
194000,9.25456e-07
195000,1.20858e-06
196000,6.14752e-07
197000,9.02575e-07
198000,9.12165e-07
199000,9.01831e-07
200000,1.48209e-06
201000,1.4651e-06
202000,8.98647e-07
203000,1.16564e-06
204000,5.92492e-07
205000,8.76214e-07
206000,8.63599e-07
207000,8.79934e-07
208000,1.41505e-06
209000,3.13278e-07
210000,5.7207e-07
211000,1.39158e-06
212000,1.11947e-06
213000,1.37211e-06
214000,1.11016e-06
215000,2.89149e-07
216000,8.32726e-07
217000,1.08681e-06
218000,1.34597e-06
219000,5.56497e-07
220000,1.9236e-08
221000,1.33682e-06
222000,1.3144e-06
223000,1.05828e-06
224000,8.0506e-07
225000,5.29558e-07
226000,1.05173e-06
227000,1.55034e-06
228000,2.80092e-07
229000,1.53957e-06
230000,7.71362e-07
231000,2.86772e-07
232000,1.26999e-06
233000,1.78481e-06
234000,1.0098e-06
235000,2.47114e-08
236000,2.661e-07
237000,1.48729e-06
238000,5.17777e-07
239000,1.47294e-06
240000,9.9733e-07
241000,7.37677e-07
242000,1.22018e-06
243000,7.34963e-07
244000,7.27356e-07
245000,7.37058e-07
246000,4.91077e-07
247000,9.63194e-07
248000,9.52862e-07
249000,7.26869e-07
250000,1.17673e-06
251000,2.63918e-07
252000,4.78616e-07
253000,7.06296e-07
254000,1.16019e-06
255000,9.25754e-07
256000,4.90143e-07
257000,6.93541e-07
258000,9.26718e-07
259000,1.13504e-06
260000,1.35371e-06
261000,2.41216e-07
262000,1.12638e-06
263000,2.54824e-07
264000,8.93803e-07
265000,8.98579e-07
266000,1.10531e-06
267000,8.87102e-07
268000,1.1042e-06
269000,1.30969e-06
270000,5.37553e-08
271000,6.59327e-07
272000,4.60596e-07
273000,4.39054e-07
274000,1.07271e-06
275000,1.07673e-06
276000,6.4662e-07
277000,2.65369e-07
278000,4.31821e-07
279000,4.49774e-07
280000,1.67512e-06
281000,8.3948e-07
282000,2.30759e-07
283000,2.1967e-07
284000,6.61593e-07
285000,8.32258e-07
286000,1.04189e-06
287000,2.18487e-07
288000,8.16811e-07
289000,1.42052e-06
290000,8.15974e-07
291000,6.226e-07
292000,4.09682e-07
293000,4.09729e-07
294000,2.1444e-07
295000,8.02083e-07
296000,4.07359e-07
297000,7.95378e-07
298000,5.99492e-07
299000,5.9768e-07
300000,4.00848e-07
301000,5.94724e-07
302000,7.77615e-07
303000,5.92231e-07
304000,3.95575e-07
305000,1.97268e-08
306000,5.81709e-07
307000,3.94653e-07
308000,2.02114e-07
309000,2.01976e-07
310000,5.81761e-07
311000,5.75263e-07
312000,7.88066e-07
313000,1.99506e-07
314000,7.63807e-07
315000,3.82643e-07
316000,1.97247e-07
317000,9.33817e-07
318000,9.24978e-07
319000,2.04471e-07
320000,7.3743e-07
321000,3.83519e-07
322000,9.17196e-07
323000,1.09684e-06
324000,5.51746e-07
325000,7.2585e-07
326000,1.09106e-06
327000,7.19269e-07
328000,5.75653e-07
329000,1.91348e-07
330000,5.63978e-07
331000,7.13124e-07
332000,7.09018e-07
333000,1.06165e-06
334000,5.3418e-07
