Timestep,function
0,0
1000,5.99257e-05
2000,0.00585509
3000,0.00471063
4000,0.0058629
5000,0.00120407
6000,0.00356005
7000,0.00471197
8000,0.00587279
9000,0.0058756
10000,0.00354401
11000,0.00355568
12000,0.00239783
13000,0.00240173
14000,0.00356223
15000,7.22467e-05
16000,0.00238793
17000,8.17156e-05
18000,0.00354053
19000,0.00353871
20000,0.00586902
21000,0.00355218
22000,0.00122572
23000,0.00472958
24000,0.00238122
25000,0.00590383
26000,0.00354442
27000,0.00239806
28000,0.00122954
29000,0.00469833
30000,0.00702112
31000,0.00239428
32000,0.000101903
33000,0.00355714
34000,0.00361105
35000,0.00820651
36000,0.00592088
37000,0.00240636
38000,0.00123361
39000,0.00474691
40000,0.00589178
41000,0.00702222
42000,0.00123264
43000,0.00472209
44000,0.0035813
45000,0.00472008
46000,0.00475242
47000,0.00240482
48000,0.000118607
49000,0.00354966
50000,0.00470591
51000,0.00239431
52000,0.0035613
53000,0.00241371
54000,0.00589024
55000,0.00355514
56000,0.00355932
57000,0.0047346
58000,0.00238873
59000,0.0012362
60000,0.0035711
61000,0.00355782
62000,0.00472822
63000,0.0012553
64000,7.64659e-05
65000,0.00822452
66000,0.00356832
67000,0.0070423
68000,0.00357325
69000,0.00239803
70000,0.00353264
71000,0.00586334
72000,0.00357373
73000,0.00355186
74000,0.0047414
75000,0.00472108
76000,0.00587645
77000,0.00474631
78000,0.00355688
79000,0.00357457
80000,0.00704049
81000,0.0058784
82000,0.00585652
83000,0.00471053
84000,0.00239422
85000,0.00588238
86000,0.00355842
87000,0.00354976
88000,0.00358338
89000,0.00356433
90000,0.00127036
91000,0.0047104
92000,0.00354816
93000,0.0035594
94000,0.00241435
95000,0.00124977
96000,0.00586071
97000,0.00703869
98000,0.00124445
99000,0.00594002
100000,0.00473232
101000,0.00242423
102000,0.00470265
103000,0.00239535
104000,0.00473086
105000,0.00125539
106000,0.0012633
107000,0.00823128
108000,0.00353793
109000,0.0047428
110000,9.62657e-05
111000,0.00239906
112000,0.00353983
113000,0.00589649
114000,0.00125846
115000,0.00125793
116000,0.0012356
117000,0.00470638
118000,0.00478616
119000,0.00124989
120000,0.00473766
121000,8.30372e-05
122000,0.00470831
123000,0.00357576
124000,0.00703331
125000,0.00356757
126000,0.00123454
127000,0.00591413
128000,0.00936183
129000,0.00711515
130000,0.00586692
131000,0.00357978
132000,0.00355563
133000,0.00472466
134000,0.00588339
135000,0.00123035
136000,0.00357426
137000,0.00240607
138000,0.0047323
139000,0.00358222
140000,0.00123328
141000,0.00125494
142000,0.00125477
143000,0.00242678
144000,0.00238821
145000,0.00356696
146000,0.0035954
147000,0.00241625
148000,0.00245959
149000,0.0024084
150000,0.00484587
151000,0.0035698
152000,0.00137953
153000,0.00591472
154000,0.00705022
155000,0.00356158
156000,0.00473836
157000,0.00379509
158000,0.00703012
159000,0.00834666
160000,0.00702325
161000,0.00241627
162000,0.00360418
163000,0.00124121
164000,0.00718144
165000,0.00586758
166000,0.00367481
167000,0.00589114
168000,0.00365368
169000,0.00588434
170000,0.00592198
171000,0.00589765
172000,0.00472319
173000,0.00241819
174000,0.00822655
175000,0.00590845
176000,0.00589584
177000,0.00472486
178000,0.00125005
179000,0.00473567
180000,0.00705332
181000,0.00587427
182000,0.00358111
183000,0.0024148
184000,0.00834515
185000,0.00473419
186000,0.00130502
187000,0.00588708
188000,0.00471947
189000,0.00242735
190000,0.00241618
191000,0.00361798
192000,0.00706471
193000,0.00244872
194000,0.00359077
195000,0.00471348
196000,0.00240983
197000,0.00355615
198000,0.00361217
199000,0.00358929
200000,0.00592838
201000,0.0058897
202000,0.00363053
203000,0.0047325
204000,0.00241737
205000,0.00359248
206000,0.00355803
207000,0.00364293
208000,0.00588661
209000,0.0013095
210000,0.00240269
211000,0.00587247
212000,0.00474656
213000,0.0058452
214000,0.00475149
215000,0.00124334
216000,0.00359737
217000,0.00471674
218000,0.00586841
219000,0.00243746
220000,8.46385e-05
221000,0.00590876
222000,0.00583594
223000,0.00471992
224000,0.00360667
225000,0.00238301
226000,0.00475382
227000,0.00703853
228000,0.00127722
229000,0.00705121
230000,0.00354827
231000,0.00132489
232000,0.00589276
233000,0.00831723
234000,0.00472588
235000,0.000116144
236000,0.00125599
237000,0.00704977
238000,0.00246462
239000,0.00704067
240000,0.00478718
241000,0.00355561
242000,0.00590568
243000,0.00357192
244000,0.0035495
245000,0.00361158
246000,0.0024161
247000,0.00475818
248000,0.00472619
249000,0.00361981
250000,0.00588365
251000,0.00132487
252000,0.00241222
253000,0.00357386
254000,0.00589376
255000,0.00472134
256000,0.00250953
257000,0.0035648
258000,0.00478186
259000,0.00587951
260000,0.0070393
261000,0.00125915
262000,0.00590221
263000,0.00134037
264000,0.00471928
265000,0.00476247
266000,0.00588023
267000,0.00473713
268000,0.00591851
269000,0.00704611
270000,0.000290279
271000,0.00357355
272000,0.00250564
273000,0.00239723
274000,0.00587847
275000,0.00592202
276000,0.00356934
277000,0.00147014
278000,0.00240092
279000,0.00250974
280000,0.00938067
281000,0.00471788
282000,0.00130148
283000,0.00124333
284000,0.00375785
285000,0.00474387
286000,0.00595959
287000,0.00125412
288000,0.00470483
289000,0.00821061
290000,0.00473265
291000,0.00362353
292000,0.00239254
293000,0.00240101
294000,0.00126091
295000,0.00473229
296000,0.00241156
297000,0.00472454
298000,0.00357297
299000,0.00357412
300000,0.00240509
301000,0.00358024
302000,0.0046968
303000,0.00358892
304000,0.00240509
305000,0.000120334
306000,0.00356006
307000,0.00242317
308000,0.00124502
309000,0.00124821
310000,0.00360692
311000,0.00357813
312000,0.00491753
313000,0.00124891
314000,0.00479671
315000,0.00241065
316000,0.0012466
317000,0.0059204
318000,0.00588286
319000,0.00130453
320000,0.00471956
321000,0.00246219
322000,0.00590674
323000,0.00708556
324000,0.00357531
325000,0.00471803
326000,0.00711369
327000,0.00470402
328000,0.00377628
329000,0.00125907
330000,0.00372226
331000,0.00472088
332000,0.00470788
333000,0.00707056
334000,0.00356832
335000,0.00252093
336000,0.00586878
337000,0.00363019
338000,0.00934959
339000,0.00123045
340000,0.00590691
341000,0.00473117
342000,0.00360274
343000,0.00240462
344000,0.00128244
345000,0.00473048
346000,0.00472971
347000,0.00241429
348000,0.00356954
349000,0.00590046
350000,0.002407
351000,0.00477981
352000,0.00356733
353000,0.00356537
354000,0.00472036
355000,0.00357825
356000,0.00588047
357000,0.00240681
358000,0.00241505
359000,0.00590298
360000,0.00473196
361000,0.00470425
362000,0.00473071
363000,0.0058564
364000,0.0081804
365000,0.00240576
366000,0.00472309
367000,0.00469963
368000,0.00705794
369000,0.001258
370000,0.00123065
371000,0.00471885
372000,0.00239345
373000,0.00588465
374000,0.00355597
375000,0.00588035
376000,0.00125116
377000,0.000112347
378000,0.00241903
379000,0.00475847
380000,0.0024059
381000,8.51695e-05
382000,0.0035726
383000,0.00818215
384000,0.00243972
385000,0.00588589
386000,0.00360836
387000,0.00240593
388000,0.00240469
389000,0.0035758
390000,0.0058914
391000,0.00245765
392000,8.69704e-05
393000,0.00356988
394000,0.00240759
395000,0.00241005
396000,0.00244531
397000,0.0024089
398000,0.00479579
399000,0.00241829
400000,0.00472054
401000,0.00123048
402000,0.00240123
403000,0.00249172
404000,0.00240485
405000,0.00595093
406000,0.00703605
407000,0.00241959
408000,0.00243457
409000,0.00585067
410000,0.00592905
411000,0.00357997
412000,8.21456e-05
413000,0.00357904
414000,0.00589265
415000,0.00125455
416000,0.00588491
417000,0.00240627
418000,0.00125142
419000,0.00471654
420000,0.00124922
421000,0.00356249
422000,0.00356005
423000,0.00470305
424000,0.00242228
425000,0.00239823
426000,0.00590789
427000,0.00824241
428000,0.00473441
429000,0.00356826
430000,0.00357529
431000,0.00357522
432000,0.00706231
433000,0.00361147
434000,0.00474125
435000,0.00241085
436000,0.0035775
437000,0.00473386
438000,0.00247096
439000,0.00472747
440000,0.00359997
441000,0.00124583
442000,0.00705965
443000,0.00355812
444000,0.00585938
445000,0.00358091
446000,0.00355916
447000,0.00246625
448000,0.00473332
449000,0.00128104
450000,0.00359216
451000,0.00242062
452000,0.00364768
453000,0.0070131
454000,0.00136015
455000,0.00590053
456000,0.00365852
457000,0.00355388
458000,0.00819272
459000,0.00129544
460000,0.00356333
461000,0.000211414
462000,0.00354991
463000,0.00593808
464000,0.00358348
465000,0.00125362
466000,0.00594584
467000,8.93118e-05
468000,0.0048671
469000,0.00357577
470000,0.00249317
471000,0.00704213
472000,0.0058841
