Timestep,C1,C2,C3,C4
1000,0.999193,0.997581,0.99517,0.991968
2000,0.995522,0.994309,0.991559,0.985211
3000,0.996064,0.99439,0.991138,0.984666
4000,0.995554,0.994405,0.991748,0.985521
5000,0.9983,0.996451,0.9935,0.989043
6000,0.997073,0.995866,0.993497,0.98873
7000,0.996059,0.994375,0.991109,0.98462
8000,0.995317,0.993696,0.990335,0.983179
9000,0.995447,0.994085,0.991113,0.984471
10000,0.996972,0.995563,0.992893,0.98773
11000,0.996914,0.995388,0.992546,0.987157
12000,0.997316,0.995052,0.991297,0.985245
13000,0.997256,0.994871,0.990935,0.984645
14000,0.996732,0.994844,0.991463,0.985362
15000,0.998833,0.996506,0.993031,0.988426
16000,0.997449,0.995447,0.992083,0.986543
17000,0.998659,0.995986,0.991995,0.986712
18000,0.996633,0.994549,0.990877,0.984393
19000,0.996701,0.994753,0.991283,0.985066
20000,0.995515,0.994286,0.991514,0.985137
21000,0.996825,0.995123,0.992019,0.986285
22000,0.997981,0.995497,0.991603,0.985907
23000,0.995956,0.994066,0.990495,0.983607
24000,0.997415,0.995347,0.991886,0.98622
25000,0.995497,0.994235,0.991411,0.98497
26000,0.996712,0.994785,0.991347,0.985171
27000,0.997288,0.994966,0.991126,0.984959
28000,0.998005,0.995573,0.991753,0.986156
29000,0.996028,0.994283,0.990926,0.984318
30000,0.99472,0.993452,0.990435,0.983196
31000,0.997352,0.99516,0.991512,0.9856
32000,0.99862,0.995868,0.991757,0.986312
33000,0.996678,0.994685,0.991147,0.984841
34000,0.9967,0.994748,0.991271,0.985044
35000,0.99408,0.99308,0.990273,0.982771
36000,0.995408,0.993971,0.990884,0.984093
37000,0.99734,0.995121,0.991433,0.985465
38000,0.997943,0.995384,0.99138,0.985538
39000,0.996014,0.994238,0.990836,0.984168
40000,0.995407,0.993968,0.990879,0.984086
41000,0.994643,0.993223,0.989977,0.982439
42000,0.997921,0.99532,0.99125,0.98532
43000,0.995981,0.99414,0.990641,0.983845
44000,0.996672,0.994667,0.991111,0.984783
45000,0.996042,0.994323,0.991008,0.984455
46000,0.995963,0.994087,0.990538,0.983678
47000,0.997291,0.994978,0.991149,0.984997
48000,0.998553,0.995668,0.991365,0.985671
49000,0.996658,0.994623,0.991025,0.984639
50000,0.996025,0.994271,0.990903,0.984281
51000,0.997237,0.994814,0.990823,0.984459
52000,0.996587,0.994414,0.990607,0.983948
53000,0.997282,0.994949,0.991093,0.984908
54000,0.995319,0.993703,0.990355,0.983222
55000,0.996668,0.994655,0.991088,0.984745
56000,0.996653,0.994609,0.990995,0.98459
57000,0.995926,0.993978,0.99032,0.983321
58000,0.997267,0.994904,0.991003,0.98476
59000,0.997924,0.995329,0.991271,0.985361
60000,0.996633,0.994551,0.99088,0.984402
61000,0.996618,0.994506,0.990792,0.984254
62000,0.995914,0.993941,0.990246,0.983194
63000,0.997922,0.995322,0.991253,0.985328
64000,0.998615,0.995853,0.991732,0.986278
65000,0.994051,0.992993,0.990099,0.982482
66000,0.996576,0.994379,0.990539,0.983834
67000,0.994704,0.993405,0.990339,0.983035
68000,0.996621,0.994515,0.990809,0.98428
69000,0.9973,0.995004,0.991202,0.985089
70000,0.996697,0.994742,0.991261,0.985031
71000,0.995366,0.993844,0.990634,0.983684
72000,0.996611,0.994483,0.990745,0.984176
73000,0.996689,0.994715,0.991209,0.984944
74000,0.995938,0.994014,0.990395,0.983445
75000,0.995967,0.9941,0.990565,0.983725
76000,0.995351,0.993798,0.990542,0.983524
77000,0.995983,0.994145,0.990653,0.983866
78000,0.996653,0.994608,0.990996,0.984591
79000,0.996635,0.994556,0.990892,0.984421
80000,0.994648,0.993239,0.99001,0.982493
81000,0.99543,0.994034,0.991013,0.984305
82000,0.995314,0.993686,0.990322,0.983168
83000,0.995926,0.993976,0.990317,0.983312
84000,0.997245,0.99484,0.990876,0.98455
85000,0.995332,0.993739,0.990426,0.983335
86000,0.996701,0.994754,0.991282,0.985063
87000,0.996671,0.994664,0.991106,0.984775
88000,0.996626,0.994528,0.990837,0.98433
89000,0.996622,0.994518,0.990817,0.984298
90000,0.997976,0.995484,0.991576,0.985861
91000,0.996002,0.994203,0.990768,0.984057
92000,0.996695,0.994733,0.991242,0.984995
93000,0.996609,0.994478,0.990736,0.98416
94000,0.997351,0.995158,0.991506,0.98559
95000,0.99796,0.995433,0.991475,0.985693
96000,0.995387,0.993903,0.990752,0.983874
97000,0.994676,0.993321,0.990171,0.982757
98000,0.997945,0.995392,0.991394,0.985562
99000,0.995386,0.993903,0.990751,0.983872
100000,0.995994,0.994182,0.990726,0.98399
101000,0.997353,0.995161,0.991515,0.985604
102000,0.995977,0.99413,0.990621,0.983815
103000,0.997322,0.995068,0.991328,0.985294
104000,0.995996,0.994187,0.990737,0.984008
105000,0.997987,0.995517,0.991644,0.985976
106000,0.997885,0.995213,0.991038,0.984974
107000,0.994051,0.992991,0.990096,0.982478
108000,0.99674,0.99487,0.991515,0.985448
109000,0.995912,0.993935,0.990233,0.983171
110000,0.998608,0.995833,0.991692,0.986212
111000,0.997305,0.995018,0.99123,0.985135
112000,0.99668,0.994687,0.991153,0.984849
113000,0.995336,0.993755,0.990455,0.983385
114000,0.99785,0.99511,0.990833,0.984636
115000,0.997935,0.995362,0.991334,0.985461
116000,0.997979,0.995494,0.991596,0.985893
117000,0.995949,0.994045,0.990455,0.983539
118000,0.995959,0.994073,0.99051,0.98363
119000,0.997987,0.995517,0.991643,0.985972
120000,0.995988,0.994162,0.990683,0.983916
121000,0.998545,0.995643,0.991313,0.985581
122000,0.995964,0.99409,0.990543,0.983687
123000,0.996668,0.994656,0.991089,0.984744
124000,0.99468,0.993334,0.990197,0.982799
125000,0.996603,0.994458,0.990696,0.984095
126000,0.997968,0.99546,0.991531,0.98579
127000,0.995283,0.993595,0.990138,0.982859
128000,0.993361,0.992469,0.989637,0.981563
129000,0.994697,0.993384,0.990296,0.982964
